Ivica Boneš
Mehdi Šrimpf
Milan Anton Kavicki
Vilijam Pratneker
Gentian Grbič
Tejo Kremič
Korado Burica
Qemajl Jurgan
Ivan Milan Jurčevič
Staško Zirnstein
Gaetano Ropoš
Janez Mihaljčić
Zenel Felc
Arun Hudin
Lorenc Baboc
Žani Toernar
Advan Erhart
Vlatko Kuplenik
Gianluca Volovec
Miloš Hoda
Salji Gor
Arianit Antosiewicz
Fisnik Cigit
Vladimir Vitanc
Asad Fornazarič
Josef Pavoković
Ksaver Ciz
Djordjo Ladišić
Ecio Nelec
Janez Stanislav Landekar
Meriton Runtič
Jožef Božidar Trbić
Rizah Dravinac
Ennio Tisovnik
Djulaga Dreisibner
Hamzalija Sertić Šabec
Halim Janićijević
Fric Dekanj
Ismail Bajramoski
Edvard Ilijevec
Metodija Bobonja
Alojz Marjan Durmišević
Karim Fabijanić
Tim Kolavčič
Mykhaylo Dervodel
Selajdin Rotnik
Alois Šimičić
Ibro Maljevac
Jeronim Emberšič
Istvan Aljukić
Bogumil Zottl
Ibrahim Šisernik
Neđeljko Džomba
Milaim Gasparič
Janže Mikov
Kostadin Vučić
Jaki Ferletic
Radisav Petač
Fran Andrin
Ladimir Moršič
Andrija Šliski
Bilal Penzeš
Juraj Bedič
Dani Slunjski
Karl Bavdek
Dion Writzl
Radomir Ugarak
Boštijan Gere
Tosja Sakelšek
Arbnor Banković
Nedžat Duraković
Dorijan Serše
Ivan Pavel Gamser
Sedin Pek
Djafer Vrunč
Elemir Kirsanov
Gaetano Teljega
Irvin Metličar
Huso Hajdić
Miloje Manojlović
Mike Stapić
Maksi Klanšček
Selman Nebesni
Jožef Franc Travnšek
Karl Franc Nardin
Florent Ivič
Matjažek Walland
Zoki Kisovec
Dolfe Jurše
Blagoja Sokler
Mustafa Solatnik
Hetem Puhmeister
Nebojša Paulović
Bashkim Harčević
Tejo Vergles
Svetko Markovc
Vlade Ružić
Šandor Kedačič
Paško Srečnik
Rrahman Kovčan
Gazi Krota
Andjelko Pobirk
Fahir Seretinek
Danimir Pollak
Arben Zaniuk
Mate Prostor
Ištvan Muzel
Agron Sabalič
Artan Kajtazi
Rašo Deliu
Janez Anton Lajovic
Marjan Anton Vidoš
Sladjan Kržičnik
Božidar Jožef Šilc
Sima Terbovc
Bernd Dobernik
Vesko Šušnjar
Peter Franc Stajan
Bane Počuča
Janez Janko Manojlović
Darjan Bistrović
Sabit Orešković
Refik Ude
Drejc Ćufurović
Gyula Sekne
Djuro Božičković
Bahrudin Čičić
Arianit Žudić
Kebir Dikosavić
Marčelo Čičković
Djoka Hasanović
Marian Alfirev
Zvonko Arlič
Hugon Nečemar
Timon Vavken
Reuf Jurak
Tjaš Simeunovič
Špejtim Cedula
Frančišek Vinovrški
Miralem Nikolčić
Leopold Franc Sutlović
Lojze Hajnc
Vukosav Demić
Rajo Gasparin
Tjan Perković
Pavel Jožef Markulić
Muharem Sikovšek
Nikita Zakelšek
Ivan Kvrgić
Franc Jože Djelovci
Vitomil Žepuhar
Adnen Rojc
Branivoj Milostnik
Gazi Pegam
Rajif Trbulin
Sven Filipašić
Goran Rosić
Zećir Kozlina
Teofil Likeb
Gentian Mikanec
Klavdi Papdi
Fidančo Knep
Simo Manfredo
Luka Maser
Zarjo Čukaj
Vasjan Sebastian
Attila Krempuš
Ciril Pungerčar
Zakir Miholic
Jurče Bebar
Zenun Pepeljak
John Brakić
Asad Džimrić
Georg Šteklič
Gazmen Grobenski
Pile Wertl
Stanko Mahmuljin
Velimir Pangrc
Vedran Maligec
Selvedin Selimspahić
Mihal Jeriša
Matjažek Sadnik
Asim Močilnik
Sveta Huskić
Fran Puškarevič
Dragi Žebalc
Vladica Seferagić
Ožbe Arhnaver
Harij Isović
Granit Lević
Dorjan Kutanjac
Zahir Žnideršič
Oto Pašić
Jahir Štajnaher
Nathan Starič
Pablo Trpin
Samet Aleš
Radovan Žerajić
Beni Zavrtanik
Tobija Madric
Laren Paradinović
Aldijan Tejić
Rahman Limbek
Filip Franc Gomezel
Ferruccio Stanoevski
Freddy Motoz
Jano Zoretić
Timothy Juntes
Vinci Hašaj
Burim Lesičak
Raul Kegu
Mikel Trhljen
Dobran Dobrilović
Hazbi Bobnjar
Neđeljko Jankovec
Dragoš Bohinc
Azem Radetič
Slavoj Pavlin
Jadranko Bilavčić
Roberto Heinc
Rino Banić
Miša Drčar
Narciso Zlatanov
Fredo Kačnik
Grujica Staničić
Merim Volontar
Baki Škarja
Rolando Patačko
Roger Kalan
Drage Mišetić
Tufik Bencik
Smajil Kalender
Zvonko Zeljković
Vujadin Rugole
Savo Dovrtel
Milenko Filipovič
Vatroslav Avsenik
Michael Jelović
Nebojša Jensterle
Sergije Rekanović
Miki Tessari
Dumitru Milković
Špiro Mertuek
Dževad Milardović
Vukašin Jurak
Eshref Podaj
Xhevxhet Vavh
Asif Krivic
Klas Reya
Venceslav Laznik
Darvin Spudić
Miloslav Luetić
Jan Luka Vojska
Nafi Šporn
Marijan Jože Seme
Meris Rasman
Luigi Škorjak
Neven Korenč
Dušan Franc Drenica
Felix Feuš
Durim Leon
Nihad Bradašević
Darinko Šparavec
Radivoje Žager
Trajče Brežič
Den Škarlin
Ljubinko Artenjak
Đerđ Krenk
Bexhet Supan
Azem Gerbec
Halit Groff
Jaša Anakiev
Slavoljub Jekler
Božislav Cortese
Bine Purnat
Janin Hadžirić
Juri Bazelj
Aca Ilar
Sejfo Bukovica
Anes Dominković
Destan Falež
Golub Sulejmanovič
Oto Nučič
Til Čavnik
Borislav Zelić
Matijaž Brižan
Miladin Presker
Slaviša Kantužar
Neđad Juričko
Ismar Bardutzky
Adrian Bonjšak
Vladislav Hlad
Janez Franc Muja
Đoko Jankovec
Marjan Stanislav Salamon
Ognjen Vakselj
Janez Alojzij Vrlič
Ilir Marčić
Relja Hahn
Stanislav Maliqaj
Alfredo Hawlina
Mersad Comuzzi
Muarem Tuljak
Edip Medak
Lorenzo Činej
Murat Grozde
Silvan Iseni
Radoslav Adrović
Rihard Želježič
Miša Ogrinc
Vidomir Stenko
Nace Franjčić
Miloje Veber
Slavoljub Sandalj
Alexandru Štampah
Dževair Doberšek
Ismailj Čampara
Javier Moderc
Mišel Kafexhiu
Cvetan Halilčević
Niko Kalič
Vebi Vavkman
Ozrenko Dreo
Dobrinko Nevistić
Leonid Šutković
Ševalija Pucel
Pile Čotar
Nadan Klenovšek
Ostoja Grdun
Stepan Seifert
Žiko Vitas
Kuzman Fonovič
Dursum Kuhelj
Ćerim Redek
Feliks Srečko Gnidovec
Dalimir Mehadžić
Siegfried Mataija
Pašaga Srakar
Lorenc Jovetić
Marsel Prpič
Amon Perla
Dejvid Rušiti
Dimitar Smerajc
Sakib Habjanič
Aris Vdovč
Ivan Jakob Basarac
Šućo Lojo
Stanislav Ivan Strasberger
Tobia Ravmanoski
Midhet Gams
Slavoljub Aranjoš
Senid Dugon
Janez Jože Šipoš
Šerif Rekanović
Alem Šaban
Meriton Šarko
Patricio Baglama
Trivun Ivajnšič
Tonček Mitić
Isuf Pokeržnik
Dobrivoje Petraš
Sveto Štros
Zeqir Ohman
Pavel Janez Ružič
Arber Brda
Marjan Stanislav Malkoč
Vojeslav Družeta
Ruggero Simler
Tomaž Janez Golubić
Danko Ričko
Veselin Dejan
Dževad Pustivšek
Amin Sirotka
Muriz Žvar
Mitja Bruder
Ezio Kukučka
Milovan Taučar
Shani Valec
Periša Kanurić
Amin Močilnik
Želimir Šimenc
Srdan Mojzer
Sredoje Šašek
Adil Ranđelović
Suvad Ahačič
Agan Leskovec
Đurica Arvaj
Benjamin Ožir
Asan Podviz
Ugo Šumiga
Hazir Muslić
Timotej Gei
Mehemed Evačič
Anton Pavel Štrukelj
Loren Fuks
Faik Jahja
Dedo Beljev
Anton Marko Živanić
Milun Vrbič
Ratimir Švec
Donald Sudac
Remigij Milojevič
Sefir Jesenko
Fajko Kuruzović
Fabrizio Brancelj
Timej Bagola
Nande Brezničar
Deni Kodrič
Gradimir Užar
Marko Lojak
Dželal Abunar
Alfonz Petronio
Mauricij Rukelj
Afrim Maurin
Jože Rogar
Radiša Krohne
Huzeir Šanjug
Ređep Grujčič
Srboljub Šančić
Medo Jakoš
Iuliu Lanišek
Viljam Gumpot
Djordje Sinčič
Rinor Štremfelj
Ahmet Hadžihasanović
Šemsudin Muić
Mirsad Lovašič
Ibraga Bukvarević
Branko Jeknić
Klemen Plahanc
Nuran Andrin
Radmilo Jesenk
Lavdim Dragosavljević
Antonijo Andričić
Šućo Pantelič
Danjel Fukne
Fahir Andrejaš
Nadžip Bujak
Gerhard Gligorević
Vanes Hrenić
Alfonz Rajer
Alojz Ivan Grošić
Klaudio Bujadilo
Blažo Posušen
Marko Andrej Zorić
Janez Alojzij Bradan
Robertino Lavš
Bernhard Nušinović
Amadeo Rižner
Robertino Utenkar
Meris Laščak
Darinko Rotenhajzer
Vanes Štivan
Endrit Hlepčar
Hijeronim Kenjar
Imri Naka
Adil Boršo
Stevica Kerhe
Cvjetko Shehi
Vlado Berložnik
Shpend Albert
Ahac Schwed
Jonathan Batinič
Obren Španjić
Karol Drago Mahovlič
Fabian Metličar
Abedin Tesner
Jakša Kvartič
Edwin Polajner
Saško Krajger
Jonathan Bradelj
Zemir Erznožnik
Jure Kunčič
Zvjezdan Vinski
Flavio Nedveš
Vjekoslav Zaplatar
Qendrim Konjajev
Mai Rautar
Brano Vlah
Alojz Šajnič
Liman Čekada
Milan Anton Petrevčič
Radivoja Talevski
Bono Smeh
Vicko Videnović
Hajdin Ferenčina
Hamo Šuvić
Roman Žebre
Jaro Botolen
Kemal Brlečič
Borko Ključevšek
Ajhan Viher
Borna Oblak
Michael Gardener
Tijan Staroveški
Gregorij Brundič
Velibor Rončelj
Joco Klauški
Matia Kunaver
Anastazij Tkalčič
Aziz Brajdih
Jago Glavina
Elez Habith
Emilijan Goričnik
Janez Jan Kapelar
Bine Morojna
Veli Kovačič Ivanjko
Črtomir Nemeček
Nderim Pečelin
Muho Presker
Nado Čanadi
Rizo Dužič
Zdravko Farina
Skender Hainc
Miomir Štamol
Eduard Zumeri
Venco Ipsa
Laste Vesenjak
Muhamet Semijalac
Žarko Deržič
Safet Ekart
Grgo Brezovšček
Riki Šarić
Branko Vutolen
Radule Matis
Stanislav Ivan Šukljan
Richard Laimiš
Peter Jožef Rožič
Aca Piškur
Emil Jožef Zorić
Sefir Jusufović
Sanel Jedvaj
Ingo Spalević
Avrelij Šlebinger
Brian Školč
Beqir Govek
Vukadin Šajbler
Muradif Kašič
Marko Andrej Persolja
Pane Krpina
Dilaver Zaverl
Jadranko Bernardić
Sadmir Lamovec
Aldo Pramenko
Karl Seferović
Boris Janez Šantej
Petko Ismaili
Helmut Kolaković
Nikša Jurkovnik
Evgenij Lejko
Vidko Zanko
Gafur Sandrin
Nuraga Lestan
Nafi Rodež
Džemal Kurtovič
Frano Grudina
Femi Melkič
Abdulah Kubot
Zore Grahovac
Pajo Dejanović
Avgustin Viraj
Janez Gregor Šmerc
Avgustin Vranešević
Duško Uglješić
Emrah Dudić
Karl Drago Kapusta
Besart Kocev
Adem Avčin
Aleksa Poglič
Ajdan Donev
Feliks Weitzer
Mito Mišček
Ivan Jožef Šavko
Jan Rihberger
Vojko Škrila
Emin Kavo
Bogoljub Porčić
Anton Peter Sagrković
Arnej Medić
Medo Šmic
Van Rudelič
Claudio Močilnikar
Nebih Opačić
Zarjo Grmovšek
Dilaver Švajgl
Lučano Keršmanc
Redžep Derstvenšek
Isidor Čolig
John Biševac
Bekim Hajdič
Hašim Grgurevič
Mitja Franc Jelčić
Fabijan Pejašinović
Miftar Alandžak
Lajoš Perko
Anton Alojzij Sečkar
Najil Tololeski
Lučano Kahrimanović
Marjan Jožef Stržinar
Alojz Ivan Čonkaš
Borna Božičević
Rame Triplat
Safet Šulak
Mirsat Drekonja
Pajo Macuh
Stevo Jarmšek
Aca Nosan
Pave Nidorfer
Dalimir Čampa
Harun Mustafić
Rešad Hainc
Jakob Franc Milićević
Novalija Kukec
Krume Udorović
Čazim Jakulin
Hilarij Samardžić
Nikolas Hreorešen
Tonči Pečuh
Aurelio Krezić
Eric Gomilšak
Ferid Mihalinec
Salji Falamić
Dimitrija Šel
Almin Kukić
Reko Panker
Viliam Husukić
Željan Jeklar
Bogomir Škrokov
Živorad Barkovič
Sabir Bartolac
Mitre Redja
Srčan Puškarić
Pantelija Sorgo
Nande Ogorevc
Elez Stušek
Bakir Čenčur
Vidko Bradaš
Ignacije Kalizan
Sevad Veriš
Žan Jan Mehani
Erwin Avramov
Kanija Vukina
Selvir Holderjan
Velija Klen
Fredi Krepfl
Dado Thaqi
Abid Klasnić
Ismar Lazansky
Desimir Arklinič
Gajo Ramaj
Mihael Milan Lin
Nexhmedin Sedeljšak
Nazif Ivetić
Artan Okiljević
Šefik Bongarz
Roman Možgon
Oskar Hutar
Orest Ščukovt
Grozdan Tomas
Mithad Pavlakovič
Uroš Čanak
Živojin Mrvalj
Diego Laci
Narsej Fejfar
Timotej Zontič
Dženan Borko
Bexhet Koren
Vili Galeković
Abdulah Kač
Jura Rečnik
Džoni Mikljič
Roko Vičič
Mauricij Oltra
Abid Smolar
Vitja Gracar
Namir Ivanjko
Ernesto Škrbić
Emin Lipovčić
Jane Bibič
Mahmut Pauković
Jožef Stanislav Ručigaj
Janez Stanislav Bedić
Haris Ledvinka
Tito Gentile
Giuseppe Sansoni
Advan Brozič
Vitja Božičevič
Hisni Osmankić
Taras Gobina
Aris Rabar
Marjan Janez Albert
Shukri Branšperger
Anton Peter Blažica
Anton Stanislav Beović
Franc Emil Straže
Patricij Cerle
Loris Ravmanoski
Marcel Brne
Maksimiljan Lapoša
Stanimir Koltaj
Remo Ćoralić
Šemsi Hudobivnik
Tinej Ježovnik
Miron Tomanović
Gazmend Bosotina
Dardan Titovšek
Vehbi Bezak
Šaban Boršić
Džemail Oparenović
Arlind Qorri
Lenko Varšek
Jaš Hažić
Žika Mataln
Mursel Kodrin
Fric Sorbek
Gajo Lojevec
Domen Konobelj
Tejo Šmagelj
Lovrenc Mihaić
Enes Gergyek
Fausto Hevka
Sezair Baldaš
Mesut Čurila
Muarem Medi
Nedžat Vigele
Gordan Hrenovec
Chris Brašnić
Silvin Bjeli
Kris Hajdaraj
Rijad Kopinč
Emra Hecl
Maše Hlad
Boris Franc Gabrovec
Vilmos Vejseli
Elver Čižek
Danimir Pejič
Goce Fazlija
Perica Kolander
Ferenc Havle
Agron Cajnar
Tit Šnek
Shaqir Đulić
Dragi Valoh
Bojko Kreštić
Igor Janez Jasnić
Demis Ratković
Davorin Martin Rodić
Radomir Kostevšek
Lorenzo Pupić
Jetmir Šauberger
Hasib Fabina
Avdo Zajmi
Miloje Kropovšek
Iso Levanič
Amor Čepelnik
Edin Zavelcina
Dževair Mačinković
Huska Elkaz
Šefki Henzel
Islam Horić
Rufad Pečuh
Bujar Bobolinski
Henri Ograjšek
Mentor Lorenzetti
Franc Valentin Tavzelj
Flurim Žumer
Vittorio Tulumović
Milorad Kozo
Markus Pucel
Luan Dakskofler
Viljem Radminič
Alvin Štajduhar
Adel Radulović
Salkan Zečević
Hamza Rapotec
Mirzad Fornezzi
Nedim Alijaj
Alis Magdalenič
Artur Žolnir
Vall Vecchiet
Nikodem Koležnik
Vahid Ročnik
Rei Špitalar
Marek Kropovšek
Rašid Šegedin
Stepan Lazarova
Lucio Duren
Martin Franc Rkman
Shemsi Vukmanović
Bora Martinov
Jamin Cimbola
Demian Taloš
Oreste Fefer
Ivan Franc Črepnjak
Radivoje Oslakovič
Munir Podakar
Bogomir Bradić
Đani Pervanić
Dražan Krstić
Bujar Budimir
Enes Čučnik
Voja Mikic
Dobrinko Salecl
Jasin Aleksin
Iljir Filipova
Erol Ramovš
Alessio Zalesjak
Modest Sedlak
Venceslav Roj
Velibor Jurca
Aleš Cukrov
Minir Redžepović
Peregrin Nakič
Nevio Sorman
Vlajko Gashi
Fisnik Bicman
Tijan Kararić
Zmagomir Belužić
Gianfranco Podbršček
Ljupko Bolta
Berislav Eri
Horst Bajser
Krištof Dokleja
Sava Zenković
Ennio Oiclj
Nedžat Torlaković
Vlastimir Benčuku
Mito Vasa
Hilmi Žalar
Žolt Andjelov
Ševko Sunčič
Hristijan Solič
Arsenije Tuk
Tajib Biberović
Šaćir Kunič
Ciril Žoher
Joseph Dobnik
Marčel Rodi
Fabijo Pečlin
Jalen Vihtelič
Evgen Tihec
Alex Plantan
Ivan Milan Osojnik
Renat Ferkol
Rukib Dugalić
Selver Knavs
Jožef Marijan Pintolli
Reshat Mišvelj
Orhan Eberlinc
Elija Miljak
Drilon Štravs
Dževad Vražič
Suljo Radotić
Črt Pervanić
Dževair Nikolić
Ivko Pušelja
Fortunat Jonić
Dragan Locatelli
Vitaliy Čvan
Vasilija Drinovec
Tugomer Jevšjak
Vilim Kikl
Zdravko Valentin Hasinović
Lulzim Props
Rahmo Pielick
Safer Krajinović
Juljan Krulčič
Anton Alojz Kobi
Selmin Žur
Mehmed Obrovac
Spasoje Krančič
Franc Branimir Pinoza
Kiril Hekič
Zarjo Rakovnik
Marko Jožef Mišica
Medin Steffe
Semin Windschnurer
Elis Žban
Asllan Vidrgar
Gjorgji Treplak
Zinet Škrabe
Shaip Ignjatić
Ratomir Sevenšek
Panče Uljančič
Nasir Presl
Uke Penhofer
Velaga Lazovski
Giuseppe Leder
Života Muqa
Đoni Bizajl
Ostoja Kesič
Antonije Hajdarević
Lev Polner
Anastazij Vičič
Imran Kolenbrand
Vasyl Protega
Džabir Galeti
Anže Čot
Gjuro Pez
Imre Taučer
Sveta Čerčnik
Radule Gorinjac
Rude Blekač
Dako Stromšek
Teufik Nedoh
Aki Žgajnar
Merfin Sagode
Andraž Ferhatbegović
Haxhi Radjenović
Vid Ruparčič
Šekib Ivančič
Eldin Bamburač
Ljubomir Burkeljc
Demetrij Misini
Salih Damjanac
Edib Brkič
Egidij Mazinjanin
Klement Bušković
Timej Lehpamer
Orest Faflek
Silverij Hoti
Klaudij Kazimoska
Pavel Janez Štancar
Nasir Bedenčič
Giuliano Letica
Aca Ojcinger
Dobrivoje Štunf
Ivan Alojzij Maligec
Zoro Sončar
Lubomir Milovanovič
Berin Maloski
Merfin Verdikon
Erih Zeqiri
Renzo Zeljić
Elmir Aračić
Oste Škrobar
Mathias Banda
Venko Švegelj
Aleksij Heimbring
Domin Ivakič
Vitko Pflege
Dragoš Mirkovič
Sevad Lavrač
Jozsef Dravčbaher
Omar Despotovič
Dimče Jaševec
Šućo Strmšnik
Bogumil Valdhuber
Dedo Leuštek
Tit Spreizer
Bertold Rašperger
Filip Jakob Pikuš
Stanislav Martin Palko
Milanko Pauman
Anton Silvester Škrtić
Bislim Lančič
Klavdijo Muminhodžić
Marjan Ivan Bujanović
Zvonimir Zelenik
Azim Drlink
Đani Pečanac
Tim Savtič
Kristian Džever
Trivo Černac
Samel Weisseisen
Andrej Martin Milost
Memet Ninin
Merfin Hanč
Boris Janez Bremšak
Oleksandr Toromanović
Joce Kržič
Edward Medi
Ugo Akerman
Vilijan Franzot
Ronald Ćajić
Laren Đuza
Orest Karadža
Desimir Hausmeister
Sascha Ditrih
Ozrenko Štergelj
Mustafa Šerifović
Dragi Volovlek
Jani Hero
Dante Čujk
Janez Marjan Kordaš
Arsen Šistek
Livio Tavčman
Murtez Poslončec
Venco Petre
Samil Duralija
Horst Marjanica
Djurica Vajcer
Leon Skalič
Ilber Lovko
Naum Polaner
Lian Zadravec
Abdula Safić
May Grbič
Donat Oršuš
Kamer Andree
Dino Gvozdić
Bazilij Filipović
Vasilija Janevski
Mitjan Vezenik
Noah Gerbec
Radisav Kerže
Ismar Jare
Ignacij Slavec
Naum Hevešević
Frančišek Branko Janković
Zorko Kastner
Džan Bervar
Dmitar Willenpart
Amadeo Sešek
Vulnet Zabukovnik
Francesco Mevec
Alban Muqaj
Sulejman Abulnar
Lojze Peršin
Petru Lonić
Mihovil Savinc
Hugon Ivezič
Borjan Bunjaku
Nicholas Abrahamsberg
Blagoj Abazi
Jošt Schweitzer
Sanjin Dvekar
Hajredin Mešnjak
Amos Arlič
Abdija Anžel
Rezak Cukut
Jurij Marko Jarović
Bojan Vejzović
Gerhard Zetiček
Roman Hanc
Đorđa Goltes
Leotrim Višner
Bernad Terner
Božidar Darko Dobrovc
Danislav Dadanović
Bruno Podrumac
Fabrizio Čalić
Jonatan Trebižan
Božo Veznaver
Janez Marko Mostek
Ferdi Vrtarič
Tarik Smrajc
Adil Moleh
Bogoljub Rajk
Mart Rendulič
Boris Jožef Potec
Iljas Hochstaetter
Seid Lopan
Hasim Petohleb
Jurko Vovk Petrovski
Vase Prhaj
Salko Mattiazzi
Vincenc Jožef Riccobon
Gregor Trušnovec
Karel Drago Kosor
Djordjo Milčevski
Risto Domajnko
Arno Topol
Nezir Potušek
Medžid Hohnjec
Slobodan Magovac
Šandor Vujanić
Hamid Glajncer
Alush Mistral
Mirel Peršuh
Viljem Tavzes
Aljaž Vukota
Ignacij Duspara
Dorko Ljubanović
Lovrencij Nezirević
Vidoje Čemerika
Franc Emil Trpkov
Jozef Šaćiri
Pavel Jožef Gostan
Matias Alispahić
Moris Drljača
Miroljub Ptičak
Bane Ilmić
Dželal Škripec
Balazs Mavri
Roko Izgoršek
Vanjo Verbec
Vladimir Jožef Eberle
Toni Radotić
Janos Markioli
Frank Blaško
Lutvo Jakopiček
Džemail Ivanc
Semir Željko
Xhavit Krsmanović
Jožef Alojz Muslimović
Karolj Žanko
Andrejček Prusnik
Matia Krasnič
Qerim Vidgaj
Golub Vidović
Jožef Anton Galjanič
Hadžib Kapić
Nick Starčič
Hamid Baćić
Janez Jožef Seher
Jovica Zavasnik
Anton Frančišek Misajlovski
Anton Ladislav Vasiloski
Dejvid Železinger
Bronislav Preis
Ratko Bofulin
Federico Mandelj
Jonuz Hadžič
Karim Glumac
Masimo Arauš
Vukosav Kar
Liridon Šmigić
Nal Salkoski
Ludvik Vražič
Ljubko Bratanović
Zorko Simeunovič
Vid Zimšek
Abdula Beršič
Šukrija Šibler
Lari Rajter
Taras Nikitovič
Dženis Bilalli
Čedo Jašari
Jaroš Šela
Krunoslav Teršelič
Janez Martin Blaha
Tomi Filipić
Dominik Carnelutti
Sandor Smontara
Rrahim Brodar
Hazir Lukarič
Jak Sotošek
Rahmo Pavec
Dario Juretić
Aleksandar Prodanović
Ivan Alojzij Ivanšek
Zlatan Bobonja
Georgi Passoni
Dušan Janez Bončar
Midhat Tihomirović
Božidar Franc Kornik
Taip Vene
Sinaj Janežič
Selmin Simionov
Janez Jože Čebulec
Janez Tomaž Furek
Spasoje Dreo
Joce Vrecl
Admin Marovič
Relja Milenkovski
Ruslan Taqi
Đulaga Krall
Bora Rajer
Franz Grguraš
Alexandru Polovšek
František Miodragović
Jemin Glišović
Ilir Schafer
Avni Prša
Ilo Oberlajt
Milosav Stopar
Franc Marjan Puizdar
Davud Tuševski
Demis Marzelj
Stepan Mihajilović
Zinet Brižan
Vesko Šoda
Franco Žlogar
Bafti Hedžek
Sejdi Lišnić
Ruždi Matjažič
Ernesto Omerhodžić
Zihnija Korpes
Faredin Nadrah
Matej Stipančić
Tešo Gerebic
Vekoslav Kucalović
Emil Franc Serpan
Sejdo Šarič
Nuraga Maksl
Timmy Črnelč
Loris Čepon
Ecijo Toporišič
Ljupčo Pečečnik
Auguštin Petak
Klaudij Luketina
France Sajić
Nehat Kržič
Sinan Morano
Erion Lušin
Rizah Nedanovski
Endre Šlajmar
Božidar Anton Grajfoner
Iso Gomizelj
Jože Stanislav Ostovršnik
Fabrizio Kuplenik
Šemsudin Belščak
Remzo Župan
Radisav Kalovšek
Armin Hazimali
Suvad Kostadinova
Timej Koltai
Anton Martin Žnidarčič
Alojz Liponik
Lučano Firar
Zlatan Burk
Altin Veseljak
Ferdinand Sabadin
Kuzman Ožbold
Javier Klincov
Vidomir Glazer
Bastian Triglav
Samet Pfifer
Ferdi Mršol
Pablo Tkavc
Rašo Šerović
Veron Zagorc
Janez Ivan Ulčnik
Bogoslav Ropotar
Djemal Štitić Tadić
Rahmo Murič
Faik Terzič
Hotimir Hromadžić
Silvij Vidičević
Severin Skenderija
Nuran Šošterič
Stiv Balič
Čamil Arh
Dorjan Kremsar
Marijan Jože Boroš
Nail Malkič
Esed Lučin
Andrija Pepelnak
Timijan Stjelja
Branimir Bedeković
Andrejček Jagurdžija
Jagoš Mec
Gaj Peserl
Vehid Grabec
Dagmar Čeper
Ljuljzim Oljača
Henri Kač
Engelbert Pršić
Tihomir Kenjar
Rijad Skubin
Rado Vegi
Sveta Cerovečki
Jožef Franc Đurkin
Vidak Volavšek
Nedeljko Grizelj
Tihomir Zauneker
Arnel Jajčević
Minir Memedov
Vadim Lorbeg
Tomaž Mejavšek
Elija Trbežnik
Egon Recek
Alexandru Bekoe
Rihard Ronko
Ivan Stanislav Orlačnik
Stanislav Peter Grmovšek
Dorijan Mišetić
Rastko Žvegla
Božidar Darko Kodat
Aki Klauž
Alfons Rahne
Edmir Dane
Bajram Gerdina
Besart Urankar
Silvio Gnjatović
Mihael Rudof
Herman Šut
Frano Kožuhar
Valerij Komel
Jagoš Parežnik
Lev Šenjug
Maksut Furjanič
Jakob Franc Hoblaj
Zdravko Valentin Buerge
Vlastimir Rodošek
Tome Atijas
Valbon Artner
Lucijan Simonovska
Jure Bajt
Arnes Zorzini
Darian Debeljak
Peregrin Osmankić
Marjan Matevž Juratovec
Mihovil Seifried
Ladi Mrđen
Faton Žetko
Orce Markelić
Lovro Hamzić
Joži Kuntič
Miroslav Jožef Azemi
Nebojiša Temnik
Fidančo Drmelj
Nusret Wastl
Franc Branimir Tesner
Aziz Hostinger
Taulant Gombar
Zdenko Šušterič
Nikolaj Merjasec
Merfin Jerman Grašič
Božidar Deželan
Milidrag Kek
Miroljub Verbančič
Marjan Alojz Podberšček
Anton Ivan Nemivšek
Ignacije Milosavljević
Ernad Beršnjak
Hisni Arnčnik
Ludvik Strouhal
Dušan Janez Lausegger
Alfonz Tollazzi
Tosja Kokal
Blagoje Spasojević
Sebastjan Žiško
Cane Erhartič
Jahir Kamenica
Fatmir Libenšek
Elez Ribežil
Zikret Ekar
Vuk Spasov
Aleš Nemevšek
Rahman Skočaj
Arian Cantarutti
Sifet Borin
Dragutin Mihalec
Michel Lesičak
Žan Hasanbašić
Jane Berdon
Nal Gregorović
Anej Mec
Dubravko Osmanbegović
Brian Hren
Peregrin Panjek
German Baškarad
Rajmund Grims
Mattia Prevolnik
Jožef Ciril Žugel
Danislav Kresojević
Femi Trbanc
Matevž Maltarič
Atif Humerca
Mirzad Sedlšak
Karim Ovčina
Vitomir Pavliha
Emeran Deanović
Bego Malsori
Vujo Gregorač
Mite Maruško
Franc Branimir Sorokin
Natanael Hrenovec
Sifet Pirečnik
Jago Santo
Emin Guzzi
Anton Ivan Kozarski
Duško Plevelj
Guerino Torjan
Matjaž Kirn
Antonije Radović
Elmin Kovšak
Bujar Gričnik
Velibor Dedek
Ibrišim Vincetić
Anton Jožef Špirić
Kenny Kabir Khan
Irvin Puhfink
Livijo Zombra
Oktavij Mališnik
Jordan Grobiša
Nazim Tusić
Ajhan Klukej
Veselko Vrbanec
Namik Palkovič
Xiaowei Kolovrat
Mithat Gojič
Tone Štingl
Jovo Stavec
Beni Beočanin
Nazim Rott
Đevad Kerkoš
Enver Štebljaj
Franc Alojzij Ostovršnik
Ahmo Tarić
Firzet Klajne
Boštjan Pribovšek
Evgen Pekovec
Tedej Tirović
Rafo Lukačević
Miodrag Erlih
Maksimilian Vermiglio
Reshat Aškerc
Borčo Župnek
Jiri Robinšak
Eduardo Cunilo
Manojlo Škrila
Janez Matija Nezman
Justin Sofić
Avmet Sedovnik
